date time , active window title , highlighted text , url
Tue Jan 03 00:32:39 2017,"text_app/main_prog.cpp at 322b54552a9571dcd3a8fb0bfd85135d1910453c � aa18514/text_app - Google Chrome"," if (retCode == ERROR_SUCCESS)                 {                _tprintf(TEXT((%d) %s\n), i+1, achKey);                }","https://github.com/aa18514/text_app/blob/322b54552a9571dcd3a8fb0bfd85135d1910453c/main_prog.cpp"
Tue Jan 03 00:33:09 2017,"CV_Asad_Ahmadupdated - Word","o	Third year modules include Artificial Intelligence, Computer Vision, Control Engineering, Custom Computing, Machine Learning and Embedded Systems.B		 	    Beaconhouse ",path not found
Tue Jan 03 00:37:00 2017,"CV_Asad_Ahmadupdated - Word","GCE A levels - Karachi, Pakistan							           o	2 A*'s in Chemistry, Physics. 3 A's in Mathematics, Further Mathematics, Economics.                                             GCE ",path not found
Tue Jan 03 00:38:15 2017,"CV_Asad_Ahmadupdated - Word","First Class Honours.    o	Relevant first and second year modules include: Algorithms & Data Structures, Signal Processing, Computer Architecture, Language Processors, Computer Networks & Distributed ",path not found
Tue Jan 03 00:43:29 2017,"CV_Asad_Ahmadupdated - Word","Engineering, Custom Computing, Machine Learning and Embedded Systems.B		 	    Beaconhouse School System - Karachi, Pakistan               	                                                                                                                             GCE A levels - Karachi, Pakistan							           o	2 A*'s in Chemistry, Physics. 3 A's in Mathematics, Further Mathematics, Economics",path not found
Tue Jan 03 00:43:46 2017,"CV_Asad_Ahmadupdated - Word","						           o	2 A*'s in Chemistry, Physics. 3 A's in Mathematics, Further Mathematics, Economics.                                             GCE O levels - Karachi, Pakistano	4 A*s in Chemistry, Physics, Mathematics, Additional ",path not found
Tue Jan 03 00:44:17 2017,"CV_Asad_Ahmadupdated - Word","Engineering, Custom Computing, Machine Learning and Embedded Systems.B		 	    Beaconhouse School System - Karachi, Pakistan               	                                                                                                                             GCE A levels - Karachi, Pakistan							           o	2 A*'s in Chemistry, Physics. 3 A's in Mathematics, Further Mathematics, Economics.                                             GCE O levels - Karachi, Pakistano	4 A*s in Chemistry, Physics, Mathematics, Additional Mathematics. 3 A's in English Language, Pakistan Studies, Computing. 2 B's in Islamic Studies, Urdu.  Experience 	 	 	                                               ",path not found
Tue Jan 03 00:45:49 2017,"CV_Asad_Ahmadupdated - Word","Networking Protocols. Education           Expected Graduation June 2017 		Imperial College London	  	 	 BEng Electronic and Information ",path not found
Tue Jan 03 00:53:46 2017,"CV_Asad_Ahmadupdated - Word","Engineering, Custom Computing, Machine Learning and Embedded Systems.B		 	    Beaconhouse School System - Karachi, Pakistan               	                                                                                                                             GCE A levels - Karachi, Pakistan							           o	2 A*'s in Chemistry, Physics. 3 A's in Mathematics, Further Mathematics, Economics.                                             GCE O levels - Karachi",path not found
Tue Jan 03 00:54:41 2017,"CV_Asad_Ahmadupdated - Word","Engineering, Custom Computing, Machine Learning and Embedded Systems.B		 	    Beaconhouse School System - Karachi, Pakistan               	                                                                                                                             GCE A levels - Karachi, Pakistan							           o	2 A*'s in Chemistry, Physics. 3 A's in Mathematics, Further Mathematics, Economics.                                             GCE O levels - Karachi",path not found
Tue Jan 03 00:55:11 2017,"CV_Asad_Ahmadupdated - Word","Networks & Distributed Systems. o	Third year modules ",path not found
Tue Jan 03 01:02:39 2017,"CV_Asad_Ahmadupdated - Word","levels - Karachi, Pakistan							           o	2 A*'s in Chemistry",path not found
Tue Jan 03 01:03:12 2017,"CV_Asad_Ahmadupdated - Word","Signal Processing, Computer Architecture, Language Processors, Computer Networks & Distributed Systems. o	Third year modules ",path not found
Tue Jan 03 01:06:49 2017,"CV_Asad_Ahmadupdated - Word","Beaconhouse School System - Karachi, Pakistan               	                                                                                                                             GCE A levels - Karachi, Pakistan							           o	2 A*'s ",path not found
Tue Jan 03 01:07:52 2017,"CV_Asad_Ahmadupdated - Word","Networks & Distributed Systems. o	Third year modules include ",path not found
Tue Jan 03 01:13:37 2017,"CV_Asad_Ahmadupdated - Word","in Chemistry, Physics. 3 A's in Mathematics, Further Mathematics, Economics.                                             GCE O levels - Karachi",path not found
Tue Jan 03 01:14:34 2017,"CV_Asad_Ahmadupdated - Word","Signal Processing, Computer Architecture, Language Processors, Computer Networks & Distributed Systems. o	Third year ",path not found
Tue Jan 03 01:15:05 2017,"CV_Asad_Ahmadupdated - Word","Economics.                                             GCE O levels ",path not found
Tue Jan 03 01:15:45 2017,"CV_Asad_Ahmadupdated - Word","    Beaconhouse School System - Karachi, Pakistan               	                                                                                                                             GCE A levels - Karachi, Pakistan							           o	2 A*'s in Chemistry, Physics. 3 A's in Mathematics, Further Mathematics, Economics.     ",path not found
Tue Jan 03 01:16:08 2017,"CV_Asad_Ahmadupdated - Word","Signal Processing, Computer Architecture, Language Processors, Computer Networks & Distributed Systems. o	Third year ",path not found
Tue Jan 03 01:16:54 2017,"CV_Asad_Ahmadupdated - Word","Electronic and Information Engineering 	            	            o	Predicted First Class Honours.    o	Relevant first ",path not found
Tue Jan 03 01:18:10 2017,"Reading Windows Registry Subkeys - C And C++ | Dream.In.Code - Google Chrome","Electronic and Information Engineering 	            	            o	Predicted First Class Honours.    o	Relevant first ","http://www.dreamincode.net/forums/topic/50844-reading-windows-registry-subkeys/"
Tue Jan 03 01:22:07 2017,"CV_Asad_Ahmadupdated - Word","Engineering, Custom Computing, Machine Learning and Embedded Systems.B		 	    Beaconhouse School System - Karachi, Pakistan               	                                                                                                                             GCE A levels - Karachi, Pakistan							           o	2 A*'s in Chemistry, Physics. 3 A's in Mathematics, Further Mathematics, Economics",path not found
Tue Jan 03 01:27:49 2017,"CV_Asad_Ahmadupdated - Word","o	Predicted First Class Honours.    o	Relevant first and second year modules include: Algorithms & Data Structures, Signal Processing, ",path not found
Tue Jan 03 01:28:59 2017,"CV_Asad_Ahmadupdated - Word","Beaconhouse School System - Karachi, Pakistan               	                                                                                                                             GCE A levels ",C:\Users\Asad Ahmad\Desktop\update.docx
Tue Jan 03 01:29:52 2017,"CV_Asad_Ahmadupdated - Word","o	Relevant first and second year modules include: Algorithms & Data Structures, Signal Processing, Computer Architecture, Language Processors, Computer Networks & Distributed Systems. o	Third year modules include Artificial Intelligence, Computer Vision, Control Engineering, Custom Computing, Machine Learning and Embedded Systems.B		 	    Beaconhouse School System - Karachi, Pakistan               	                                                                                                                             GCE A levels - Karachi, Pakistan							           o	2 A*'s ",C:\Users\Asad Ahmad\Desktop\update.docx
Tue Jan 03 01:31:18 2017,"CV_Asad_Ahmadupdated - Word","o	Relevant first and second year modules include: Algorithms & Data Structures, Signal Processing, Computer Architecture, Language Processors, Computer Networks & Distributed Systems. o	Third year modules include Artificial Intelligence, Computer Vision, Control Engineering, Custom Computing, Machine Learning and Embedded Systems.B		 	    Beaconhouse School System - Karachi, Pakistan               	                                                                                                                             GCE A levels - Karachi, Pakistan							           o	2 A*'s ",C:\Users\Asad Ahmad\Desktop\update.docx
Tue Jan 03 01:31:18 2017,"CV_Asad_Ahmadupdated - Word","Information Engineering 	            	            o	Predicted First Class Honours.    ",C:\Users\Asad Ahmad\Desktop\update.docx
Tue Jan 03 01:35:25 2017,"CV_Asad_Ahmadupdated - Word","& Distributed Systems. o	Third year modules include Artificial Intelligence, Computer Vision, Control Engineering, Custom ",path not found
Tue Jan 03 01:37:34 2017,"RegEnumKey function (Windows) - Google Chrome","KEY_ENUMERATE_SUB_KEYS","https://msdn.microsoft.com/en-us/library/windows/desktop/ms724861(v=vs.85).aspx"
Tue Jan 03 01:38:38 2017,"CV_Asad_Ahmadupdated - Word","Beaconhouse School System - Karachi, Pakistan               	                                                                                                                             GCE A levels - Karachi, Pakistan							           o	2 A*'s ",path not found
Tue Jan 03 01:41:28 2017,"CV_Asad_Ahmadupdated - Word","o	Predicted First Class Honours.    o	Relevant first and second year modules include: Algorithms & Data Structures, Signal Processing, Computer Architecture, Language Processors, Computer Networks & Distributed ",path not found
Tue Jan 03 01:46:14 2017,"CV_Asad_Ahmadupdated - Word","Engineering, Custom Computing, Machine Learning and Embedded Systems.B		 	    Beaconhouse School System - Karachi, Pakistan               	                                                                                                                             GCE A levels - Karachi, Pakistan							           o	2 A*'s in Chemistry, Physics. 3 A's in Mathematics, Further Mathematics, Economics.     ",path not found
Tue Jan 03 01:46:53 2017,"CV_Asad_Ahmadupdated - Word","& Distributed ",path not found
Tue Jan 03 01:58:16 2017,"CV_Asad_Ahmadupdated - Word","Engineering, Custom Computing, Machine Learning and Embedded Systems.B		 	    Beaconhouse School System - Karachi, Pakistan               	                                                                                                                             GCE A levels - Karachi, Pakistan							           o	2 A*'s in Chemistry, Physics. 3 A's in Mathematics, Further Mathematics, Economics",C:\Users\Asad Ahmad\Desktop\update.docx
Tue Jan 03 01:59:09 2017,"CV_Asad_Ahmadupdated - Word","o	Predicted First Class Honours.    o	Relevant first and second year modules include: Algorithms & Data Structures, Signal ",path not found
Tue Jan 03 02:01:02 2017,"CV_Asad_Ahmadupdated - Word","o	Third year modules include Artificial Intelligence, Computer Vision, Control Engineering, Custom Computing, Machine Learning and Embedded Systems.B		 	    Beaconhouse School ",path not found
Tue Jan 03 02:01:48 2017,"text_app/main_prog.cpp at 322b54552a9571dcd3a8fb0bfd85135d1910453c � aa18514/text_app - Google Chrome"," printf( \nNumber of values: %d\n, cValues);","https://github.com/aa18514/text_app/blob/322b54552a9571dcd3a8fb0bfd85135d1910453c/main_prog.cpp"
Tue Jan 03 02:01:50 2017,"text_app/main_prog.cpp at 322b54552a9571dcd3a8fb0bfd85135d1910453c � aa18514/text_app - Google Chrome"," printf( \nNumber of values: %d\n, cValues);","https://github.com/aa18514/text_app/blob/322b54552a9571dcd3a8fb0bfd85135d1910453c/main_prog.cpp"
Tue Jan 03 02:01:52 2017,"text_app/main_prog.cpp at 322b54552a9571dcd3a8fb0bfd85135d1910453c � aa18514/text_app - Google Chrome"," printf( \nNumber of values: %d\n, cValues);","https://github.com/aa18514/text_app/blob/322b54552a9571dcd3a8fb0bfd85135d1910453c/main_prog.cpp"
Tue Jan 03 02:02:36 2017,"CV_Asad_Ahmadupdated - Word","College London	  	 	 BEng Electronic and Information Engineering 	            	            o	Predicted First Class Honours.    o	Relevant first and second ",path not found
Tue Jan 03 02:10:43 2017,"CV_Asad_Ahmadupdated - Word","Beaconhouse School System - Karachi, Pakistan               	                                                                                                                             GCE A levels - Karachi, Pakistan							           o	2 A*'s in Chemistry, Physics. 3 A's in Mathematics, Further Mathematics, Economics",path not found
Tue Jan 03 02:11:40 2017,"CV_Asad_Ahmadupdated - Word","BEng Electronic and Information Engineering 	            	            o	Predicted First Class Honours.    o	Relevant first and second year modules include: Algorithms & Data Structures, Signal Processing, Computer Architecture, Language Processors, Computer Networks & Distributed Systems. o	Third ",path not found
Tue Jan 03 02:13:27 2017,"CV_Asad_Ahmadupdated - Word","Beaconhouse School System - Karachi, Pakistan               	                                                                                                                             GCE A levels - Karachi, Pakistan							           o	2 A*'s in Chemistry, Physics. 3 A's in Mathematics, Further Mathematics, Economics",path not found
Tue Jan 03 02:14:17 2017,"CV_Asad_Ahmadupdated - Word","Beaconhouse School System - Karachi, Pakistan               	                                                                                                                             GCE A levels - Karachi, Pakistan							           o	2 A*'s in Chemistry, Physics. 3 A's in Mathematics, Further Mathematics, Economics",path not found
Tue Jan 03 02:14:18 2017,"CV_Asad_Ahmadupdated - Word","o	Relevant first and second year modules include: Algorithms & Data Structures, Signal Processing",path not found
Tue Jan 03 02:15:18 2017,"c++ - How to convert std::string to LPCSTR? - Stack Overflow - Google Chrome","s defined, ","http://stackoverflow.com/questions/1200188/how-to-convert-stdstring-to-lpcstr"
Tue Jan 03 02:15:21 2017,"CV_Asad_Ahmadupdated - Word","Networks & Distributed Systems. o	Third year modules include Artificial Intelligence, Computer Vision, Control Engineering, Custom Computing, Machine Learning and Embedded Systems.B		 	    Beaconhouse ",path not found
Tue Jan 03 02:16:11 2017,"CV_Asad_Ahmadupdated - Word","first and second ",path not found
Tue Jan 03 02:16:44 2017,"CV_Asad_Ahmadupdated - Word","Engineering, Custom Computing, Machine Learning and Embedded Systems.B		 	    Beaconhouse School System - Karachi, Pakistan               	                                                                                                                             GCE A levels - Karachi, Pakistan							           o	2 A*'s in Chemistry, Physics. 3 A's in Mathematics, Further Mathematics, Economics.     ",path not found
Tue Jan 03 02:17:08 2017,"CV_Asad_Ahmadupdated - Word","o	Predicted First Class Honours.    o	Relevant ",path not found
Tue Jan 03 02:17:50 2017,"CV_Asad_Ahmadupdated - Word","wor",path not found
Tue Jan 03 02:18:31 2017,"CV_Asad_Ahmadupdated - Word","Beaconhouse School System - Karachi, Pakistan               	                                                                                                                             GCE A levels - Karachi, Pakistan							           o	2 A*'s in Chemistry, Physics. 3 A's in Mathematics, Further Mathematics, Economics",path not found
Tue Jan 03 02:19:00 2017,"CV_Asad_Ahmadupdated - Word","Beaconhouse School System - Karachi, Pakistan               	                                                                                                                             GCE A levels - Karachi, Pakistan							           o	2 A*'s in Chemistry, Physics. 3 A's in Mathematics, Further Mathematics, Economics",path not found
Tue Jan 03 02:19:01 2017,"CV_Asad_Ahmadupdated - Word","o	4 A*s in Chemistry, Physics, Mathematics, Additional Mathematics. 3 A's in English Language",path not found
Tue Jan 03 02:20:29 2017,"CV_Asad_Ahmadupdated - Word","Processing, Computer Architecture, Language Processors, Computer Networks & Distributed Systems. o	Third year modules ",path not found
Tue Jan 03 02:21:10 2017,"CV_Asad_Ahmadupdated - Word","Engineering, Custom Computing, Machine Learning and Embedded Systems.B		 	    Beaconhouse School System - Karachi, Pakistan               	                                                                                                                             GCE A levels - ",path not found
Tue Jan 03 02:21:34 2017,"CV_Asad_Ahmadupdated - Word","Beaconhouse School System - Karachi, Pakistan               	                                                                                                                             GCE A levels - Karachi, Pakistan							           o	2 A*'s in Chemistry, Physics. 3 A's in Mathematics, Further Mathematics, Economics.     ",path not found
Tue Jan 03 02:24:19 2017,"CV_Asad_Ahmadupdated - Word","o	Predicted First Class Honours.    o	Relevant ",path not found
Tue Jan 03 02:24:48 2017,"CV_Asad_Ahmadupdated - Word","o	Third year modules include Artificial Intelligence, Computer Vision, Control Engineering, Custom Computing, Machine Learning and Embedded Systems.B		 	    Beaconhouse School System - Karachi, Pakistan               	                                                                                                                             GCE A levels ",path not found
Tue Jan 03 02:25:15 2017,"CV_Asad_Ahmadupdated - Word","dicted First Class Honours.    o	Relevant ",path not found
Tue Jan 03 02:26:22 2017,"c++ - How to convert std::string to LPCSTR? - Stack Overflow - Google Chrome","code if UNICODE is defined, ANSI if not) string - TCHAR *LPCTSTR - (long) pointer to constant TCHAR stri","http://stackoverflow.com/questions/1200188/how-to-convert-stdstring-to-lpcstr"
Tue Jan 03 02:26:26 2017,"CV_Asad_Ahmadupdated - Word","http://stackoverflow.com/questions/1200188/how-to-convert-stdstring-to-lpcstr",path not found
Tue Jan 03 02:26:27 2017,"CV_Asad_Ahmadupdated - Word","Third year modules ",path not found
Tue Jan 03 02:28:55 2017,"CV_Asad_Ahmadupdated - Word","Beaconhouse School System - Karachi, Pakistan               	                                                                                                                             GCE A levels - Karachi, Pakistan							           o	2 A*'s in Chemistry, Physics. 3 A's in Mathematics, Further Mathematics, Economics.                                             GCE O levels ",path not found
Tue Jan 03 02:30:33 2017,"CV_Asad_Ahmadupdated - Word","o	Predicted First Class Honours.    o	Relevant first ",path not found
Tue Jan 03 02:31:21 2017,"CV_Asad_Ahmadupdated - Word","GCE A levels - Karachi, Pakistan							           o	2 A*'s in Chemistry, Physics. 3 A's in Mathematics, Further Mathematics, Economics.                                             GCE O levels - Karachi, Pakistano	4 ",path not found
Tue Jan 03 02:32:34 2017,"CV_Asad_Ahmadupdated - Word","Electronic and ",path not found
Tue Jan 03 02:33:14 2017,"CV_Asad_Ahmadupdated - Word","rks & Distributed Systems. o	Third year modules include Artificial Intelligence, Computer Vision, Control ",path not found
Tue Jan 03 02:33:48 2017,"CV_Asad_Ahmadupdated - Word","rks & Distributed Systems. o	Third year modules include Artificial Intelligence, Computer Vision, Control ",path not found
Tue Jan 03 02:34:14 2017,"CV_Asad_Ahmadupdated - Word","                                        GCE O levels - Karachi, ",path not found
Tue Jan 03 02:34:45 2017,"CV_Asad_Ahmadupdated - Word","w",path not found
Tue Jan 03 02:38:26 2017,"CV_Asad_Ahmadupdated - Word","Systems. o	Third year modules include Artificial Intelligence, Computer Vision, Control Engineering, Custom Computing",path not found
Tue Jan 03 02:39:40 2017,"CV_Asad_Ahmadupdated - Word","Beaconhouse School System - Karachi, Pakistan               	                                                                                                                             GCE A levels - ",path not found
Tue Jan 03 02:41:05 2017,"CV_Asad_Ahmadupdated - Word","Processing, Computer Architecture, Language Processors, Computer Networks & ",path not found
Tue Jan 03 02:43:07 2017,"CV_Asad_Ahmadupdated - Word","in Chemistry, Physics. 3 A's in Mathematics, Further Mathematics, Economics.     ",path not found
Tue Jan 03 02:43:47 2017,"CV_Asad_Ahmadupdated - Word","Signal Processing, Computer Architecture, Language Processors, Computer Networks ",path not found
Tue Jan 03 02:44:40 2017,"CV_Asad_Ahmadupdated - Word","GCE A levels - Karachi, Pakistan							           o	2 A",path not found
Tue Jan 03 02:47:33 2017,"CV_Asad_Ahmadupdated - Word","o	Relevant first and second year modules include: Algorithms & Data Structures, Signal Processing, Computer Architecture, Language Processors, Computer Networks ",path not found
Tue Jan 03 02:48:52 2017,"CV_Asad_Ahmadupdated - Word","o	Third year modules include Artificial Intelligence, Computer Vision, Control Engineering, Custom Computing, Machine Learning and Embedded Systems.B		 	    Beaconhouse ",path not found
Tue Jan 03 02:49:44 2017,"CV_Asad_Ahmadupdated - Word","Electronic and Information Engineering 	            	            o	Predicted ",path not found
Tue Jan 03 02:53:05 2017,"CV_Asad_Ahmadupdated - Word","first and second year modules include: Algorithms & Data Structures, Signal Processing, Computer Architecture, Language Processors, Computer Networks & Distributed ",path not found
Tue Jan 03 02:54:17 2017,"CV_Asad_Ahmadupdated - Word","modules include Artificial Intelligence, Computer Vision, Control Engineering, Custom Computing, Machine Learning and Embedded Systems.B		 	    Beaconhouse School ",path not found
Tue Jan 03 02:55:06 2017,"CV_Asad_Ahmadupdated - Word","Electronic and Information Engineering 	            	            o	Predicted First Class Honours.    o	Relevant first ",path not found
Tue Jan 03 02:56:19 2017,"CV_Asad_Ahmadupdated - Word","Computer Architecture, Language Processors, Computer Networks & Distributed Systems. o	Third year modules include Artificial Intelligence, Computer Vision, Control Engineering, Custom Computing",path not found
Tue Jan 03 02:57:29 2017,"CV_Asad_Ahmadupdated - Word","                cout << x << endl;",path not found
Tue Jan 03 02:58:08 2017,"CV_Asad_Ahmadupdated - Word","Electronic and Information Engineering 	            	            o	Predicted ",path not found
Tue Jan 03 02:59:11 2017,"CV_Asad_Ahmadupdated - Word","rst ",path not found
Tue Jan 03 02:59:35 2017,"CV_Asad_Ahmadupdated - Word","Beaconhouse School System - Karachi, Pakistan               	                                                                                                                             GCE A levels - Karac hi, Pakistan							           o	2 A*'s in Chemistry, Physics. 3 A's in Mathematics, Further Mathematics, Economics",path not found
Tue Jan 03 02:59:57 2017,"CV_Asad_Ahmadupdated - Word","o	Relevant first and second year modules include: Algorithms & Data Structures, Signal Processing, Computer Architecture, Language Processors, Computer Networks ",path not found
Tue Jan 03 03:00:50 2017,"CV_Asad_Ahmadupdated - Word","Computer Architecture, Language Processors, Computer Networks & Distributed Systems. o	Third year modules include Artificial Intelligence, Computer Vision, Control Engineering, Custom Computing, Machine Learning and Embedded Systems.B		 	    Beaconhouse School System ",path not found
Tue Jan 03 03:01:27 2017,"CV_Asad_Ahmadupdated - Word","o	Relevant first and second year modules include: Algorithms & Data Structures, Signal Processing, Computer Architecture, Language Processors, Computer Networks & Distributed ",path not found
